# source_sha256	72411efdd597482bc1b3bb394dbba002107feb27dca33bd6934b46008668994c	 sheet	Analysis Report
STLA 技術安全需求分析報告_SYSRA \nSTLA Technical Safety Requirement Analysis Report_SYSRA																																																											
																																																								FM-WI-FSM-035-A02	FM-WI-FSM-035-A02		
基本資訊\n(Basic Information)				來源需求與追溯 \n(Source Requirement & Traceability)		需求屬性與分類 (Requirement Attributes & Categorization)																							品質特性\n(Quality Characteristics)						驗證標準與方法 (Verification Criteria & Method)		驗證標準與方法 (Verification Criteria & Method)		與HW的關係\n(Relation with HW)																				
						需求屬性與分類 (Requirement Attributes & Categorization)																文件版本 (Requirement Version)																																					
Sys-RA-Feature-ID	Melco ID	需求描述 Description	意見欄位\nComments Field	來源需求項目ID \nSource Requirement items	文件識別碼 \nDocument ID	EE Architecture\n(All, ATL-Hi, ATL-Mi)	VF章節 \nChapter for VF	VF後綴 \nVF suffix	分類\nCategory	限定地區\nRegion	SW/HW/System\n(如果是HW+SW，就選System)\n( software, hardware, or system (both software and hardware).)	SYS2 System-HW	SYS2 System-SW	SYS2 HARMAN Status	SYS2 HARMAN Comments	SYS2 MD Status	SYS2 MD Feedback	FROP\n(Feature Rollout Plan)	優先級 (Priority)	非模糊性 \nUnambiguous\n(Y/N/NA)	非模糊性 \nUnambiguous\n(Description)	HDCC27\nAtl-Hi	DT27\nAtl-Hi	VF(ProMaster)637\nAtl-Mi	Commander (598)\nAtl-Mi	Regengade (5210)\nAtl-Mi	Toro(2261)\nAtl-Mi	Fastack (376)\nAtl-Mi	可行性 \nFeasibility\n(Y/N/NA)	可行性 \nFeasibility\n(Description)	影響 \nImpact\n(Y/N/NA)	影響 \nImpact\n(Description)	風險因素 \nRisk Factor\n(High/Medium/Low/NA)	風險因素 \nRisk Factor\n(Description)	可重用 (Reusable)	可重用的描述 (Description/Action for Reusable)	驗證標準 (Verification Criteria)	驗證方法 (Verification Method)	USB	Bluetooth	GPS	WiFi	\nAcoustic DSPs Except CDSP	Radio Tuner (FM/AM, DAB, HD), etc.	VICS Tuner	Gyro Sensor	CD/DVD Mechanical	eMMC/SD	NOR Flash	CAN	MOST	Vehicular Signals (Hardwired)	Camera	Sub Display	Drive Recorder	DTV	Microphone	HDMI	External Amp
Sys-RA-VF665_V42_VSM-001		Vehicle Setup Management by VP - LTM (R1 Low) [VF665_V42_R6] 		VF665_V42_P637MCA_VF_1	VF665_V42_P637MCA	ATL-Mi	01	VF_1	Heading		Heading													VF665_V42_P637MCA																																			
Sys-RA-VF665_V42_VSM-002		Vehicle Function Data 		VF665_V42_P637MCA_VF_2	VF665_V42_P637MCA	ATL-Mi	01.01	VF_2	Heading		Heading													VF665_V42_P637MCA																																			
Sys-RA-VF665_V42_VSM-003		Vehicle Function Area 		VF665_V42_P637MCA_VF_3	VF665_V42_P637MCA	ATL-Mi	01.01.01	VF_3	Heading		Heading													VF665_V42_P637MCA																																			
Sys-RA-VF665_V42_VSM-004		 Infotainment and Telematics\n		VF665_V42_P637MCA_VF_4	VF665_V42_P637MCA	ATL-Mi	01.01.01	VF_4	Information		Information													VF665_V42_P637MCA																																			
Sys-RA-VF665_V42_VSM-005		Vehicle Function Group 		VF665_V42_P637MCA_VF_5	VF665_V42_P637MCA	ATL-Mi	01.01.02	VF_5	Heading		Heading													VF665_V42_P637MCA																																			
Sys-RA-VF665_V42_VSM-006		 General\n		VF665_V42_P637MCA_VF_6	VF665_V42_P637MCA	ATL-Mi	01.01.02	VF_6	Information		Information													VF665_V42_P637MCA																																			
Sys-RA-VF665_V42_VSM-007		Vehicle Function Owner 		VF665_V42_P637MCA_VF_7	VF665_V42_P637MCA	ATL-Mi	01.01.03	VF_7	Heading		Heading													VF665_V42_P637MCA																																			
Sys-RA-VF665_V42_VSM-008		 Fabiola Castaldi\n		VF665_V42_P637MCA_VF_8	VF665_V42_P637MCA	ATL-Mi	01.01.03	VF_8	Information		Information													VF665_V42_P637MCA																																			
Sys-RA-VF665_V42_VSM-009		Revision Notes 		VF665_V42_P637MCA_VF_9	VF665_V42_P637MCA	ATL-Mi	01.02	VF_9	Heading		Heading													VF665_V42_P637MCA																																			
Sys-RA-VF665_V42_VSM-010		 Date\n		VF665_V42_P637MCA_VF_5284	VF665_V42_P637MCA	ATL-Mi	01.02	VF_5284	Information		Information													VF665_V42_P637MCA																																			
Sys-RA-VF665_V42_VSM-011		 Author\n		VF665_V42_P637MCA_VF_5285	VF665_V42_P637MCA	ATL-Mi	01.02	VF_5285	Information		Information													VF665_V42_P637MCA																																			
Sys-RA-VF665_V42_VSM-012		 Description\n		VF665_V42_P637MCA_VF_5286	VF665_V42_P637MCA	ATL-Mi	01.02	VF_5286	Information		Information													VF665_V42_P637MCA																																			
