item	wb_tc_id	json_tc_id	req_id	field	current	proposed	dependency
M1	—	—	SWE1-HVAC-019-03	(new TC)	row 116 空殼	新增 BLOCKED row：remarks=`[BLOCKED-SPEC] Owner: VF HVAC document — the MAX A/C on/off logic is defined there; with that delegation removed this requirement has no content verifiable against the Comfort HMI specification alone. No test case in this delivery covers that logic.`；procedure/ER 空；N=2.13（形同 080-02）	待裁：R-C26 白名單增列（gen_batch9 reasoning 明載停下待裁）
M2	wb-312	NR1L-ComfortHMI-191	SWE1-HVAC-103-01	test_procedure	"1. Press the driver comfort seat icon in the status bar
2. Wait 5 seconds without further interaction"	"1. Press the driver comfort seat icon in the status bar
2. Wait 3 seconds without further interaction
3. Press the driver comfort seat icon again
4. Wait 3 seconds without further interaction"	不依賴裁定；`3 seconds` 為作者取之 <5 s 測點（條文僅定 5 s），Revise 前請分析層確認是否屬 §8.4.1 造值
M2	wb-312	NR1L-ComfortHMI-191	SWE1-HVAC-103-01	expected_result	"1. A popup for the comfort feature is shown
2. The popup is no longer shown"	"1. A popup for the comfort feature is shown
2. The popup is still shown
3. The popup is still shown
4. The popup is still shown"	不依賴裁定；`3 seconds` 為作者取之 <5 s 測點（條文僅定 5 s），Revise 前請分析層確認是否屬 §8.4.1 造值
M2	wb-312	NR1L-ComfortHMI-191	SWE1-HVAC-103-01	test_item 下半	(wait 5 seconds without further interaction -> The popup is no longer shown)	(press the icon again before the timeout -> the timeout restarts)	不依賴裁定；`3 seconds` 為作者取之 <5 s 測點（條文僅定 5 s），Revise 前請分析層確認是否屬 §8.4.1 造值
M2	wb-313	NR1L-ComfortHMI-192	SWE1-HVAC-103-02	test_procedure	"1. Press the driver comfort seat icon in the status bar
2. Wait 5 seconds without further interaction"	"1. Press the driver comfort seat icon in the status bar
2. Wait 3 seconds without further interaction
3. Press the driver comfort seat icon again
4. Wait 5 seconds without further interaction"	不依賴裁定；`3 seconds` 為作者取之 <5 s 測點（條文僅定 5 s），Revise 前請分析層確認是否屬 §8.4.1 造值
M2	wb-313	NR1L-ComfortHMI-192	SWE1-HVAC-103-02	expected_result	"1. A popup for the comfort feature is shown
2. The popup is no longer shown"	"1. A popup for the comfort feature is shown
2. The popup is still shown
3. The popup is still shown
4. The popup is no longer shown"	不依賴裁定；`3 seconds` 為作者取之 <5 s 測點（條文僅定 5 s），Revise 前請分析層確認是否屬 §8.4.1 造值
M2	wb-313	NR1L-ComfortHMI-192	SWE1-HVAC-103-02	test_item 下半	(let the popup time out untouched -> it is gone after five seconds)	(press the icon again before the timeout -> the popup stays for another 5 seconds, then closes)	不依賴裁定；`3 seconds` 為作者取之 <5 s 測點（條文僅定 5 s），Revise 前請分析層確認是否屬 §8.4.1 造值
M6	wb-033	NR1L-ComfortHMI-141	SWE1-HVAC-006-02	test_procedure（該步）	1. Set the recirc availability status from the CCM to unavailable	1. PENDING: DR-46 DBC message and raw value for $RECIRC_STAT$ = [not available/Blink]	DR-46 未登（提案）；CFTS043 有訊號名（NEWR1L-50234／-50051），四份 forms/*.dbc 皆查無
M6	wb-069	NR1L-ComfortHMI-158	SWE1-HVAC-012-06	test_procedure（該步）	"2. Set the recirc availability status from the CCM to unavailable and read the ""RECIRC"" button"	"2. PENDING: DR-46 DBC message and raw value for $RECIRC_STAT$ = [not available/Blink] and read the ""RECIRC"" button"	DR-46 未登（提案）；CFTS043 有訊號名（NEWR1L-50234／-50051），四份 forms/*.dbc 皆查無
M6	wb-071	NR1L-ComfortHMI-160	SWE1-HVAC-013-02	test_procedure（該步）	1. Set the rear defrost availability status from the CCM to unavailable	1. PENDING: DR-46 DBC message and raw value for $EBL_Stat$ = [not available/Blink]	DR-46 未登（提案）；CFTS043 有訊號名（NEWR1L-50234／-50051），四份 forms/*.dbc 皆查無
